id,data_type,text,is_scam,category,risk_level,risk_score,source
VN_SCAM_TXT_000001,sms,Mobifone TB: So dien thoai cua quy khach chua cap nhat CCCD gan chip. Vui long truy cap http://chuanhoathuebao-viettel.top de xac thuc tranh bi thu hoi so.,1,sim_lock_authority,MEDIUM,0.65,internal_sms_dataset
VN_SCAM_TXT_000002,sms,"Điện Máy Xanh tri ân: Bạn là 1 trong 50 khách hàng may mắn được tặng miễn phí Smart TV 55 inch và Phiếu mua hàng 10,000,000 VND. Nhắn tin Zalo 0917315953 để cung cấp địa chỉ nhận quà.",1,lottery_prize,MEDIUM,0.65,internal_sms_dataset
VN_SCAM_TXT_000003,sms,VinaPhone: Chuc mung Quy khach duoc tang 20% gia tri the nap vao tai khoan KM3 khi nap tien trong ngay hom nay. Chi tiet LH 18001091 (0d).,0,legitimate_message,SAFE,0.02,internal_sms_dataset
VN_SCAM_TXT_000004,sms,Shopee: 323297 la ma xac minh dang nhap tai khoan Shopee cua ban. Ma co hieu luc trong 5 phut. Vui long khong cung cap cho bat ky ai.,0,legitimate_message,SAFE,0.02,internal_sms_dataset
VN_SCAM_TXT_000005,sms,BIDV SmartBanking: Quy khach dang thuc hien thanh toan hoa don dien nuoc. Ma OTP la 672967. Luu y: BIDV khong bao gio yeu cau cung cap OTP qua dien thoai.,0,legitimate_message,SAFE,0.02,internal_sms_dataset
VN_SCAM_TXT_000006,sms,VIB: Thong bao the cua ban da bi tam khoa do co 3 lan nhap sai ma PIN. Vui long mo khoa tai http://vpbank-ekyc247.com.,1,banking_phishing,MEDIUM,0.65,internal_sms_dataset
VN_SCAM_TXT_000007,sms,Viettel: Quy khach da dang ky thanh cong goi cuoc ST90N (4GB/ngay). Phi dich vu 90.000d/30 ngay tru vao tai khoan goc. De kiem tra luu luong soan KTTK gui 191.,0,legitimate_message,SAFE,0.02,internal_sms_dataset
VN_SCAM_TXT_000008,sms,"Mọi người ơi lịch kiểm tra giữa kỳ môn Học máy dời sang tuần sau nhé, phòng đào tạo vừa có thông báo.",0,legitimate_message,SAFE,0.02,internal_sms_dataset
VN_SCAM_TXT_000009,sms,"Chúc mừng sinh nhật mày nhé! Chúc tuổi mới luôn vui vẻ, may mắn và sớm đạt được mục tiêu nhé.",0,legitimate_message,SAFE,0.02,internal_sms_dataset
VN_SCAM_TXT_000010,sms,"HomeCredit thong bao: Ho so vay tieu dung 5,000,000 VND cua quy khach da duoc phe duyet. Truy cap http://vayonline-nhanhtrongngay.xyz de kiem tra hop dong va giai ngan.",1,loan_scam,HIGH,0.85,internal_sms_dataset
VN_SCAM_TXT_000011,sms,"FeCredit: Ban duoc cap han muc vay tien mat 25,000,000 VND lai suat 0% thang dau. Lien he ngay qua Zalo 0703906397 de rut tien.",1,loan_scam,HIGH,0.85,internal_sms_dataset
VN_SCAM_TXT_000012,sms,Grab: Tai xe Le Van Dat (Bien so: 29A-12345) dang den don ban tai 123 Pho Hue. Ma chuyen di: GRB-88392.,0,legitimate_message,SAFE,0.02,internal_sms_dataset
VN_SCAM_TXT_000013,sms,"EVNHANOI: Quy khach da thanh toan thanh cong tien dien thang 02/2026 so tien 50,000,000 VND. Ma khach hang: HN386939.",0,legitimate_message,SAFE,0.02,internal_sms_dataset
VN_SCAM_TXT_000014,sms,Vay tiền nhanh online chỉ cần CCCD/CMND. Nhận tiền qua tài khoản ATM sau 15 phút. Nợ xấu vẫn vay được. Kết bạn Zalo 0888899184 để được hỗ trợ thủ tục.,1,loan_scam,HIGH,0.85,internal_sms_dataset
VN_SCAM_TXT_000015,sms,Techcombank: 935741 la ma xac thuc dang nhap ung dung F@st Mobile cua ban. Ma co hieu luc den 19:32. Vui long khong chia se ma nay.,0,legitimate_message,SAFE,0.02,internal_sms_dataset
