id,text,label
1,"Bạn đã được chọn để nhận khoản vay nhanh với lãi suất thấp. Đăng ký ngay tại http://vaynhanh90.info để được hỗ trợ nhanh chóng.",scam
2,"VIỆT NAM ĐÃ CÓ 145 CA KHỎI COVID-19

Thông tin từ tiểu Ban điều trị- Ban Chỉ đạo Quốc gia phòng, chống dịch COVID-19 cho biết, hôm nay (13/4), tại bệnh viện Đa khoa Bạc Liêu có 1 bệnh nhân được công bố khỏi bệnh.

Bệnh nhân này hiện sức khỏe ổn định, không sốt, không ho, không khó thở, không đau ngực, đủ điều kiện để xuất viện, cụ thể như sau:

BN 155: Bệnh nhân nữ, 21 tuổi, quốc tịch Việt Nam
- Vào viện ngày 26/3/2020
Trong quá trình điều trị tại bệnh viện, bệnh nhân được xét nghiệm và có kết quả xét nghiệm âm tính với SARS-CoV-2 trong các ngày từ 3/4-9/4/2020.

Trường hợp BN 155 sẽ tiếp tục được cách ly và theo dõi sức khỏe trong 14 ngày tiếp theo.",legitimate
3,"Bạn có thể vui lòng hỏi Macho phạm vi giá của anh ấy là gì, anh ấy muốn một cái gì đó mới hay được sử dụng cộng với nó, anh ấy chỉ can thiệp vào BlackBerry Bold & lt;#& gt;",legitimate
4,"Cảnh báo: Tài khoản ngân hàng Shinhan Bank Vietnam của bạn có hoạt động bất thường. Vui lòng đăng nhập tại http://secure47-bank.net để kiểm tra và bảo vệ tài khoản của bạn.",scam
5,"Thông báo: Bạn có một gói quà tặng từ VNDirect. Nhận ngay tại http://vcb81.top trước khi hết hạn.",scam
6,"Ugh hy vọng ASUS PPL không ngẫu nhiên thực hiện một định dạng lại.",legitimate
7,"[TB] Quy khach da dang ky/gia han thanh cong goi ST5K ([MONEY]/ngay co 500MB). Quy khach duoc tang them [TIME] goi noi mang Mocha Call Out dung den [TIME]. De su dung KM, vui long tai ung dung Mocha va lam theo huong dan tai http://mocha.com.vn/hd . LH 198 ([MONEY]). Tran trong.",legitimate
8,"Shop xả kho nghi bán, Iphone 15 Pro Max giá chỉ 2 triệu. Đặt ngay tại http://verify12-secure.org.",scam
9,"Đấu giá SMS - Một Nokia 7250 hoàn toàn mới sẽ tăng 4 phiên đấu giá hôm nay!",spam
10,"Mã OTP của bạn là 481603. Vui lòng không chia sẻ mã này cho bất kỳ ai.",legitimate
11,"Xin lỗi * đã ở các cửa hàng tạp hóa.",legitimate
12,"Mã OTP của bạn là 655638. Vui lòng không chia sẻ mã này với bất kỳ ai để bảo vệ tài khoản của bạn.",legitimate
13,"Vâng, đúng rồi, tôi sẽ phải thức dậy và kiểm tra doanh số/đi tiểu của ngày hôm nay để nhắn tin cho tôi khi bạn muốn tôi đến lấy bạn",legitimate
14,"Bộ Công An triệu tập ông/bà liên quan đến đường dây đưa tiền. Khai báo ngay tại app VNeID gia mao: http://tcb49.xyz.",scam
15,"Bạn đã được chọn để nhận khoản vay nhanh với lãi suất thấp. Đăng ký ngay tại http://nhanthuong87-bank.net để được hỗ trợ nhanh chóng.",scam
16,"Bạn có một gói quà tặng từ Ahamove, nhận ngay tại http://tcb96-verify.com. Đừng bỏ lỡ cơ hội này!",scam
17,"Theo Sky News, Tiến sĩ Gauden Galea, đại diện của WHO tại Trung Quốc, đã chấp nhận một cuộc phỏng vấn với truyền thông Anh Sky News hôm thứ Năm (30/4), nói rằng Trung Quốc đã nhiều lần từ chối yêu cầu của WHO tham gia vào cuộc điều tra nguồn gốc của virus Corona mới. Ông cũng bày tỏ nghi ngờ về tính chính xác của số liệu “trong suốt thời gian từ ngày 2/1 đến ngày 16/1, vẫn chỉ có 41 người được chẩn đoán bị bệnh” mà Trung Quốc cung cấp.",legitimate
18,"Phát hiện giao dịch bất thường tại tài khoản VietinBank số tiền 3100.000 VND. ủy giao dịch tại http://verify43.vip.",scam
